,actual,date,predicted
0,80197.0,2017-04-01,80061.57730377956
1,89398.99999999999,2017-05-01,85606.32100268063
2,76713.0,2017-06-01,75911.9032091985
3,79828.00000000003,2017-07-01,70165.79444150576
4,93166.00000000004,2017-08-01,69244.2040956209
5,98390.99999999999,2017-09-01,82801.83955740488
6,89105.00000000003,2017-10-01,88214.47369621764
7,56166.99999999999,2017-11-01,62967.42857375942
8,40340.99999999999,2017-12-01,29918.678371213864
9,61790.999999999985,2018-01-01,59992.72877687592
10,62110.99999999999,2018-02-01,61347.10392839036
11,105476.99999999997,2018-03-01,82207.24871699532
12,95910.00000000001,2018-04-01,88706.99459118558
13,96389.00000000001,2018-05-01,93241.40060181555
14,97838.0,2018-06-01,102173.65699592118
15,88570.0,2018-07-01,77165.01099365228
16,82789.0,2018-08-01,80486.26890482211
17,95096.99999999994,2018-09-01,98506.2885302007
18,84910.00000000001,2018-10-01,104934.03572628954
19,74395.99999999999,2018-11-01,81660.93127911689
20,29722.000000000004,2018-12-01,39159.608386007516
21,47511.00000000001,2019-01-01,71041.13322108967
22,67374.00000000003,2019-02-01,69156.8481163242
23,60541.99999999998,2019-03-01,59187.4201591612
24,59498.0,2019-04-01,46769.98150157482
25,71192.99999999997,2019-05-01,77718.80388016225
26,56683.00000000001,2019-06-01,62618.85851116505
27,45004.99999999998,2019-07-01,44758.043421817114
28,42087.00000000001,2019-08-01,43345.78608351138
29,41140.000000000015,2019-09-01,44901.225295756994
30,46648.00000000001,2019-10-01,53784.836245431514
31,39795.00000000001,2019-11-01,57236.38387097487
32,27139.99999999999,2019-12-01,28083.063590321864
