,min,overall_average,active_average,overall_average_last_year,active_average_last_year,non_zero,max_last_year,max,min_last_year,total_sum_last_year,total_sum_last_year_absolute,non_zero_last_year,total_sum,total_sum_absolute,k_value,var_names
print_spend_in_cr_brand_hero_passion_adstock_1,0.5000140062320013,0.5814239848120674,0.5814239848120674,0.522545530831443,0.522545530831443,33,0.573812265626143,0.9703648794618783,0.5032964941338569,6.270546369977316,1.7429254417915698,12,19.18699149879822,23.7146818195896,1.604698999727167,print_spend_in_cr_brand_hero_passion_adstock_1
print_spend_in_cr_brand_hero_splendor_adstock_1,0.500000010769901,0.6128178527990734,0.6128178527990734,0.592693190259327,0.592693190259327,33,0.8376921529892214,0.9707882168038584,0.500000010769901,7.112318283111923,11.065034920835084,12,20.22298914236942,40.91029831984405,2.2084442639635635,print_spend_in_cr_brand_hero_splendor_adstock_1
tv_grp_brand_hero_passion_adstock_1,0.5,0.5642515330934206,0.6009666948610894,0.588499474556528,0.588499474556528,21,0.9766342785541884,0.9766342785541884,0.5000000343796728,7.0619936946783355,1255.6303736212535,12,18.620300592082877,2376.4906649241516,190.06646971490747,tv_grp_brand_hero_passion_adstock_1
tv_grp_brand_hero_splendor_adstock_1,0.5,0.5286230638529336,0.9722805535734036,0.5787134255955674,0.972280553573404,2,0.9917802338837814,0.9917802338837814,0.5,6.944561107146808,333.1782345958575,2,17.444561107146807,333.1782345958575,42.72860303213572,tv_grp_brand_hero_splendor_adstock_1
tv_spend_in_cr_brand_hero_passion_adstock_1,0.5,0.5633143169135613,0.5994939265784535,0.5466741198916961,0.5466741198916961,21,0.7632309272912065,0.9830799004869125,0.5000035147130475,6.560089438700353,6.9466817442736115,12,18.589372458147523,35.563043466835005,2.8801136269179115,tv_spend_in_cr_brand_hero_passion_adstock_1
tv_spend_in_cr_brand_hero_splendor_adstock_1,0.5,0.5270233791892288,0.9458857566222747,0.5743142927703794,0.945885756622276,2,0.9946532801705256,0.9946532801705256,0.5,6.891771513244552,7.546043429687529,2,17.39177151324455,7.546043429687529,1.0209057517772635,tv_spend_in_cr_brand_hero_splendor_adstock_1
ooh_spends_in_cr_brand_hero_passion_adstock_1,0.5,0.552065510604307,0.5636356240719308,0.5000014511474701,0.5000014511474701,27,0.5000163254090376,0.9939086981966789,0.5,6.0000174137696405,5.566319823289874e-06,12,18.21816184994213,0.84208,0.07991261996042595,ooh_spends_in_cr_brand_hero_passion_adstock_1
competition_print_spend_in_cr_bajaj_discover_adstock_1,0.5,0.5507963821788375,0.5698450254959017,0.5000000003530314,0.5000000003530314,24,0.5000000039716036,0.986135701309745,0.5,6.000000004236377,1.198750988613733e-08,12,18.17628061190164,7.5945546590932995,0.7074151712197264,competition_print_spend_in_cr_bajaj_discover_adstock_1
competition_print_spend_in_cr_bajaj_platina_adstock_1,0.5,0.5292778690418184,0.5322056559460002,0.5534964203349907,0.5534964203349907,30,0.9957385737780404,0.9957385737780404,0.5,6.641957044019889,11.46226571950607,12,17.466169678380005,14.273090606439393,1.8936257250915427,competition_print_spend_in_cr_bajaj_platina_adstock_1
competition_print_spend_in_cr_honda_dream_adstock_1,0.5006460214508768,0.6026532416689889,0.6026532416689889,0.5172924072689646,0.5172924072689646,33,0.6338722376949237,0.9642019948647902,0.5006460214508768,6.207508887227576,1.7627601602474328,12,19.887556975076635,36.062276192890955,2.089774386938547,competition_print_spend_in_cr_honda_dream_adstock_1
competition_print_spend_in_cr_honda_livo_adstock_1,0.5,0.6124869956474625,0.6160022142614456,0.5261846106620544,0.5261846106620544,32,0.7186168601504098,0.970734799108971,0.5000010696379733,6.314215327944653,2.3736790509235597,12,20.21207085636626,33.08769972320753,1.7941653622861624,competition_print_spend_in_cr_honda_livo_adstock_1
competition_print_spend_in_cr_suzuki_hayate_adstock_1,,,-inf,,-inf,0,,,,0.0,0.0,0,0.0,0.0,0.0,competition_print_spend_in_cr_suzuki_hayate_adstock_1
competition_print_spend_in_cr_tvs_radeon_adstock_1,0.5,0.6227810074964417,0.7701182164921718,0.794054610973049,0.794054610973049,15,0.9405008892509115,0.9405008892509115,0.6030345950765723,9.528655331676587,15.863439922301914,12,20.551773247382577,18.249793405510886,0.9495617496795175,competition_print_spend_in_cr_tvs_radeon_adstock_1
competition_print_spend_in_cr_tvs_radeon_adstock_1,0.5,0.6227810074964417,0.7701182164921718,0.794054610973049,0.794054610973049,15,0.9405008892509115,0.9405008892509115,0.6030345950765723,9.528655331676587,15.863439922301914,12,20.551773247382577,18.249793405510886,0.9495617496795175,competition_print_spend_in_cr_tvs_radeon_adstock_1
competition_print_spend_in_cr_tvs_star_adstock_1,0.5042812360164095,0.7143661842307242,0.7143661842307242,0.7161006801442354,0.7161006801442354,33,0.9876794892119988,0.9985772993152844,0.5042812360164095,8.593208161730825,4.276066428896091,12,23.574084079613897,11.338245095083378,0.5206183561036799,competition_print_spend_in_cr_tvs_star_adstock_1
competition_print_spend_in_cr_tvs_star_adstock_1,0.5042812360164095,0.7143661842307242,0.7143661842307242,0.7161006801442354,0.7161006801442354,33,0.9876794892119988,0.9985772993152844,0.5042812360164095,8.593208161730825,4.276066428896091,12,23.574084079613897,11.338245095083378,0.5206183561036799,competition_print_spend_in_cr_tvs_star_adstock_1
competition_print_spend_in_cr_tvs_victor_adstock_1,0.5,0.7626913561560686,0.7796391855854924,0.6980123389777977,0.6980123389777977,31,0.9898223372787985,0.9995455622219451,0.5002012091609443,8.376148067733572,1.5919549013517686,12,25.168814753150265,7.09828340034004,0.3176132295518563,competition_print_spend_in_cr_tvs_victor_adstock_1
competition_print_spend_in_cr_tvs_victor_adstock_1,0.5,0.7626913561560686,0.7796391855854924,0.6980123389777977,0.6980123389777977,31,0.9898223372787985,0.9995455622219451,0.5002012091609443,8.376148067733572,1.5919549013517686,12,25.168814753150265,7.09828340034004,0.3176132295518563,competition_print_spend_in_cr_tvs_victor_adstock_1
competition_print_spend_in_cr_yamaha_saluto_adstock_1,0.5,0.5426533785266809,0.734593581896745,0.6172967909483724,0.7345935818967448,6,0.993413839402948,0.993413839402948,0.5,7.407561491380469,0.000866980201392745,6,17.90756149138047,0.000866980201392745,9.218227361415368e-05,competition_print_spend_in_cr_yamaha_saluto_adstock_1
competition_tv_grp_bajaj_discover_adstock_1,0.5,0.5610616904988981,0.5876102515853756,0.5000000001004564,0.5000000001004564,23,0.5000000011301344,0.9685395100312689,0.5,6.000000001205477,7.670382371240191e-07,12,18.51503578646364,1932.3306666666665,159.07363256018,competition_tv_grp_bajaj_discover_adstock_1
